# ----------------------------------------
# Pagine e schermate: Percorso pagina e classe schermata
# Account: Lorenzo Rocchi
# Proprietà: Smart Choices Guide
# ----------------------------------------
# 
# Tutti gli utenti
# Data di inizio: 20260409
# Data di fine: 20260506
Percorso pagina e classe schermata,Visualizzazioni,Utenti attivi,Visualizzazioni per utente attivo,Durata media del coinvolgimento per utente attivo,Conteggio eventi,Eventi chiave,Entrate totali
/index.html,31,4,7.75,97.75,83,0,0
/,10,5,2,54.4,33,0,0
